prov,fecha,casos_tot,dup
Santa_Fe,2020-03-16,0,NA
Santiago_del_Estero,2020-03-16,0,NA
Tierra_del_fuego,2020-03-16,2,NA
Tucuman,2020-03-16,0,NA
Buenos_Aires,2020-03-17,7,4.675155690558443
CABA,2020-03-17,23,2.814329633965203
Catamarca,2020-03-17,0,NA
Chaco,2020-03-17,8,100
Chubut,2020-03-17,0,NA
Cordoba,2020-03-17,2,NA
Corrientes,2020-03-17,0,NA
Entre_Rios,2020-03-17,1,NA
Formosa,2020-03-17,0,NA
Jujuy,2020-03-17,1,NA
La_Pampa,2020-03-17,0,NA
La_Rioja,2020-03-17,0,NA
Mendoza,2020-03-17,0,NA
Misiones,2020-03-17,0,NA
Neuquen,2020-03-17,0,NA
Rio_Negro,2020-03-17,2,100
Salta,2020-03-17,1,NA
San_Juan,2020-03-17,0,NA
San_Luis,2020-03-17,1,100
Santa_Cruz,2020-03-17,1,NA
Santa_Fe,2020-03-17,0,NA
Santiago_del_Estero,2020-03-17,0,NA
Tierra_del_fuego,2020-03-17,2,NA
Tucuman,2020-03-17,0,NA
Buenos_Aires,2020-03-18,13,3.5745887062634343
CABA,2020-03-18,33,2.4452128429323325
Catamarca,2020-03-18,0,NA
Chaco,2020-03-18,9,2.3221237513695945
Chubut,2020-03-18,0,NA
Cordoba,2020-03-18,3,NA
Corrientes,2020-03-18,0,NA
Entre_Rios,2020-03-18,2,NA
Formosa,2020-03-18,0,NA
Jujuy,2020-03-18,1,NA
La_Pampa,2020-03-18,0,NA
La_Rioja,2020-03-18,0,NA
Mendoza,2020-03-18,0,NA
Misiones,2020-03-18,0,NA
Neuquen,2020-03-18,0,NA
Rio_Negro,2020-03-18,2,100
Salta,2020-03-18,1,NA
San_Juan,2020-03-18,0,NA
San_Luis,2020-03-18,1,100
Santa_Cruz,2020-03-18,1,NA
Santa_Fe,2020-03-18,0,NA
Santiago_del_Estero,2020-03-18,0,NA
Tierra_del_fuego,2020-03-18,2,100
Tucuman,2020-03-18,0,NA
Buenos_Aires,2020-03-19,28,2.2748745494108276
CABA,2020-03-19,41,2.462005583869775
Catamarca,2020-03-19,0,NA
Chaco,2020-03-19,11,2.2144625871898227
Chubut,2020-03-19,0,NA
Cordoba,2020-03-19,6,NA
Corrientes,2020-03-19,0,NA
Entre_Rios,2020-03-19,2,NA
Formosa,2020-03-19,0,NA
Jujuy,2020-03-19,1,NA
La_Pampa,2020-03-19,0,NA
La_Rioja,2020-03-19,0,NA
Mendoza,2020-03-19,0,NA
Misiones,2020-03-19,0,NA
Neuquen,2020-03-19,0,NA
Rio_Negro,2020-03-19,3,100
Salta,2020-03-19,1,NA
San_Juan,2020-03-19,0,NA
San_Luis,2020-03-19,1,100
Santa_Cruz,2020-03-19,1,NA
Santa_Fe,2020-03-19,1,NA
Santiago_del_Estero,2020-03-19,0,NA
Tierra_del_fuego,2020-03-19,2,100
Tucuman,2020-03-19,1,NA
Buenos_Aires,2020-03-20,37,1.781772231847475
CABA,2020-03-20,50,2.3671781936812746
Catamarca,2020-03-20,0,NA
Chaco,2020-03-20,12,2.5370773883489472
Chubut,2020-03-20,0,NA
Cordoba,2020-03-20,11,1.200072610017893
Corrientes,2020-03-20,1,NA
Entre_Rios,2020-03-20,3,1.997804900241787
Formosa,2020-03-20,0,NA
Jujuy,2020-03-20,1,100
La_Pampa,2020-03-20,0,NA
La_Rioja,2020-03-20,0,NA
Mendoza,2020-03-20,0,NA
Misiones,2020-03-20,0,NA
Neuquen,2020-03-20,2,NA
Rio_Negro,2020-03-20,3,3.139004541723779
Salta,2020-03-20,1,100
San_Juan,2020-03-20,0,NA
San_Luis,2020-03-20,1,100
Santa_Cruz,2020-03-20,1,100
Santa_Fe,2020-03-20,1,NA
Santiago_del_Estero,2020-03-20,1,NA
Tierra_del_fuego,2020-03-20,3,100
Tucuman,2020-03-20,1,NA
Buenos_Aires,2020-03-21,52,1.6188529025231757
CABA,2020-03-21,79,2.499884700125043
Catamarca,2020-03-21,0,NA
Chaco,2020-03-21,17,3.3828537617765977
Chubut,2020-03-21,0,NA
Cordoba,2020-03-21,15,1.3006860596253749
Corrientes,2020-03-21,1,NA
Entre_Rios,2020-03-21,5,1.8396454083523721
Formosa,2020-03-21,0,NA
Jujuy,2020-03-21,1,100
La_Pampa,2020-03-21,0,NA
La_Rioja,2020-03-21,0,NA
Mendoza,2020-03-21,5,NA
Misiones,2020-03-21,0,NA
Neuquen,2020-03-21,2,NA
Rio_Negro,2020-03-21,4,2.8975724895415094
Salta,2020-03-21,1,100
San_Juan,2020-03-21,0,NA
San_Luis,2020-03-21,1,100
Santa_Cruz,2020-03-21,1,100
Santa_Fe,2020-03-21,3,NA
Santiago_del_Estero,2020-03-21,1,NA
Tierra_del_fuego,2020-03-21,6,100
Tucuman,2020-03-21,2,NA
